1,Ветровка,ветровка осенняя,24900,25,image-1702562664258-180536383.png,1
2,Ветровка,ветровка демисезон,21900,20,image-1702562732598-310510530.png,1
3,Ветровка,ветровка весна-лето,19900,20,image-1702562756021-618885159.png,1
4,Обувь,Сапоги зимние,19900,20,image-1702562802814-668072638.png,2
5,Обувь,Сапоги осенние,18000,20,image-1702562832731-100835702.png,2
6,Обувь,Сапоги демисезон,18000,20,image-1702562856060-580184954.png,2
7,Перчатки,Перчатки зима,6000,20,image-1702562890675-544610742.png,3
8,Перчатки,Перчатки осень,6000,20,image-1702562904117-69569117.png,3
9,Перчатки,Перчатки демисезон,6000,20,image-1702562913147-968212059.png,3
10,Штаны,Штаны зимние,12000,20,image-1702562954621-659295238.png,4
11,Штаны,Штаны осень,12000,20,image-1702562963813-884139626.png,4
12,Штаны,Штаны демисезон,12000,20,image-1702562971822-547628018.png,4
13,Термобелье,Термобелье зима,18000,20,image-1702563018155-151049171.png,5
14,Термобелье,Термобелье осень,18000,20,image-1702563028850-210567429.png,5
15,Термобелье,Термобелье демисезон,18000,20,image-1702563036792-375275427.png,5
16,Головные уборы,Шапка зима,9000,20,image-1702563083853-582540483.png,6
17,Головные уборы,Шапка осень,9000,20,image-1702563093214-707654983.png,6
18,Головные уборы,Шапка демисезон,9000,20,image-1702563099577-297141483.png,6
